序號,班級,學號,姓名,GitHub,作業一,作業二,作業三,作業四,作業五,作業六,作業七,作業八,作業九,作業十
39,電資資安,111C53326,偯鮡庐,nc2ku1um7v,4,5,8,6,8,5,6,7,2,5
40,創新AI,111C71619,胡僩彾,d0c5uyoqn4,7,9,7,5,5,3,5,3,6,1
41,電資資安,112C53163,猳頣屢,kv2gbywshb,5,4,9,6,4,3,8,3,7,1
42,電資資安,112C53030,控猕勍,ze90b9hrt8k,3,7,6,3,0,3,5,8,4,2
43,資工系,112590428,郶棬黲,d5au126oyw,5,1,4,0,6,4,0,7,7,7
44,電資AI,111C52101,基屒鋕,qle8ia3mcq,0,7,3,3,9,6,6,6,5,6
45,資工所,112598140,貶懗畱,adex1iolqh,7,7,2,3,6,3,8,3,0,5
46,創新AI,112C71020,磣蒾鰾,0nj52f6f9yl,1,4,3,2,4,7,4,0,2,5
47,電資資安,111C53650,粂徘礆,k3ee297sjrf,2,5,0,4,1,2,4,5,2,8
48,創新AI,111C71736,籘峽贡,6jtb90m6za,8,0,7,0,6,7,3,7,7,5
49,電資AI,112C52260,蔿莙縝,fcvf0sct7c,4,3,8,5,6,0,7,1,7,9
50,資工所,111598792,恃莬必,nsjrhjdhyg,0,3,0,3,3,9,7,2,5,1
51,創新AI,111C71332,窦珰择,zp7slgeauy,6,8,3,8,8,9,6,1,1,8
52,電資資安,112C53269,缛顳汊,57ts2g3hpf,8,2,4,9,4,6,2,4,6,2
53,資工所,112598014,爡鮭吝,dg94snm9lj,9,6,8,0,3,5,3,1,9,3
54,創新AI,112C71983,盭莎裕,uyqllsks04i,4,9,9,2,1,2,9,3,7,6
55,資工所,112598247,龌鎣岬,x0yvdfdkf1,8,4,8,9,6,1,1,1,0,5
56,電資資安,112C53482,悠畻鉻,ylk1xo72qsg,0,7,6,8,2,5,0,5,6,3
57,資工所,112598804,逻鉅喧,zgn4r4z8mq,5,1,3,2,7,2,5,8,0,6
58,電資AI,111C52513,韝龳擺,fzkp3ackyz,7,2,9,9,6,8,0,4,8,9
59,創新AI,112C71723,袰鈘述,ixvcu2el53,2,9,7,6,0,0,5,9,3,9
60,創新AI,112C71226,欎詒拌,4bgjm6opf2l,1,1,7,0,2,7,1,5,2,4
61,電資資安,112C53258,躑鿎沞,xtc8vt6ubm,5,2,4,4,7,2,1,8,7,7
62,創新AI,112C71297,褍飅茏,4q5u7sb8a4,8,8,2,7,8,5,9,3,0,7
63,資工所,112598976,硍愁妿,jp1wyilo6p,1,4,1,4,8,1,2,2,1,9
64,資工系,112590232,鰸貭昆,fimuconn0bg,9,2,8,6,5,2,4,9,6,1
65,資工所,112598352,巏荎嫸,g4v79lqu9o,1,4,4,4,6,7,9,2,5,5
66,創新AI,112C71241,笆蔈锘,voqa5m0boq,4,4,2,7,9,5,2,5,7,0
67,創新AI,111C71771,龂咾坥,qyntl5ctq1j,8,5,0,7,8,1,2,2,0,0
68,資工所,111598182,攞謩敤,rluqducwc1,1,5,0,8,2,7,4,8,7,8
69,電資資安,112C53856,谑唷仁,ogbuy3l1t3h,5,2,6,7,1,0,8,2,8,5
70,電資資安,111C53828,鄩屫継,fbnjj9cfq7,2,2,5,3,2,4,6,1,6,3
71,資工所,111598390,剥繳弎,ur0o96lug8g,1,5,7,9,3,2,7,0,5,0
72,資工所,112598250,傪垏炉,w7jp9aenjg,7,1,6,7,1,0,6,2,4,8
73,電資資安,112C53660,賿痊捫,1l11swq19r,5,5,5,3,9,5,8,3,9,4
74,電資AI,112C52235,饠瞦簦,ysi06ztbrh,3,0,2,2,1,5,8,1,5,9
75,資工所,112598359,秨脐捥,fskufzfz81f,9,2,3,0,9,1,6,4,7,1
76,資工所,112598610,挩贅勰,eaztcb23x1,0,2,9,5,0,2,1,1,9,4
77,資工系,112590536,贩橒菟,ufos1302xt,6,8,5,6,7,8,0,7,3,7
78,電資資安,112C53001,妃拨洪,wtdvtlnr5h,2,0,8,3,6,2,7,5,4,6
79,資工系,111590925,樅锼鵐,siyn4826aa,0,7,4,5,4,4,4,9,2,2
80,電資資安,111C53744,瑓揱霃,cx9aofbutv,8,1,2,2,5,3,4,4,0,5
81,電資資安,111C53511,弲攞麱,d9uta4kd3z,1,1,5,8,3,9,6,8,4,7
82,資工系,112590092,瓳荶柩,gwy30xmuzij,4,3,2,0,2,8,0,7,4,9
83,資工系,111590304,栈瑜縏,8mnvvlumo5i,0,1,4,0,6,2,6,4,5,1
84,電資AI,112C52900,囂摽閬,x644ylaxce,9,8,3,4,6,7,8,0,1,9
85,資工系,111590694,阎擞涂,33rtmdefx4,9,5,1,9,3,7,2,2,2,0
86,創新AI,111C71205,篇蹥寀,cx5nvl4gwz,0,4,7,7,0,1,7,7,4,5
87,創新AI,111C71268,欭椴劥,hx1mb5466v,7,5,0,9,3,1,6,2,8,7
88,電資資安,111C53039,咧呠僗,qjtsw3r4d8,1,9,6,3,0,3,7,2,0,7
89,資工系,111590760,寥隝娭,ppwap6ik1n,9,0,9,8,4,3,9,2,5,5
90,電資資安,111C53623,洜烚蘢,8d9wkqshit,1,8,3,1,6,9,8,9,2,3
91,電資AI,112C52488,瀩魮膭,zfwai7p6tn,3,6,5,4,2,1,1,5,8,9
92,創新AI,112C71299,怕卾汼,frai2p1eglj,4,0,8,8,9,1,0,1,4,4
93,電資資安,111C53333,霏蠫兽,fxji4fwgxq,9,4,6,0,5,1,5,1,1,4
94,資工系,111590181,觏嶠橖,pt96hqprlj,9,3,6,8,4,9,6,3,4,9
95,資工所,112598316,懔唢藳,u8qawz3qeol,9,2,5,2,3,2,9,3,9,3
96,電資資安,111C53099,賁娘虂,i4je8qh181,4,4,4,8,8,4,4,4,8,3
97,資工所,112598747,齧馍余,33jtuog777,0,9,0,7,0,4,9,1,3,7
98,創新AI,111C71694,钞踬预,2onnbrdqxg,7,4,1,0,3,6,4,8,3,6
99,資工系,112590808,儢井張,1mv73hgumo,0,9,1,1,4,5,1,5,1,7
100,創新AI,112C71940,铞蟸譶,pumzad7y03,0,2,2,5,1,6,4,2,6,1
101,資工所,111598174,恟按笄,byp8abdpcd,4,5,8,8,5,3,4,7,3,6
102,創新AI,112C71461,陝傈覴,lzltjfc6pp,3,5,7,0,0,7,3,3,7,3
103,資工系,111590862,唲篫僣,rsjss9xf0w,6,7,3,6,1,3,8,1,9,0
104,創新AI,112C71133,髀傌雇,shfsqyzphvg,5,3,6,4,0,8,1,1,2,2
105,創新AI,111C71706,哷鼹梐,mdz7yj45kwk,3,9,3,3,8,0,3,2,6,9
106,資工所,111598695,芃頦國,zbwodtnzkl,5,6,6,2,4,3,1,3,7,3
107,資工系,112590641,榒釵岃,vzpzbpmbg2,0,7,7,5,1,0,3,7,7,0
108,資工系,112590563,賸蚜钎,djfvil3kic,5,7,2,2,3,1,2,4,2,1
109,電資AI,112C52762,蝘犼騚,l5s2blgcyi,3,5,3,9,7,8,5,2,4,2
110,資工所,112598829,蘕根曘,5hpvuvyp8m,7,1,7,5,7,9,7,2,5,9
111,電資AI,111C52195,垭寍繅,zo4nwcnyms,4,7,8,7,9,7,5,3,7,2
112,電資AI,111C52392,穃蕿帚,ut52ikix5v,5,5,9,0,1,8,0,8,5,0
113,資工所,112598908,钏坚斎,i3vpu7ejzj,6,7,1,0,8,0,6,7,0,3
114,電資資安,112C53730,妊銺址,szqbgdc416f,2,9,1,9,5,8,7,6,1,2
115,資工所,111598213,獲亼佉,5pwmm61u79,5,4,3,9,7,9,3,0,3,7
116,資工系,111590119,橆廠賤,jz8af2dfr3,1,2,7,1,2,7,9,5,1,7
117,資工所,112598322,锄跄矹,puioyg5cmfj,9,4,9,0,7,2,8,4,9,9
118,電資資安,111C53517,鵄偂脰,zkv9rf3fbg,3,6,8,6,1,2,1,8,5,3
119,資工系,112590141,馰郁鲃,peitp4npmk,3,3,4,5,8,9,2,8,0,8
